Freq	keyword	disposition
82	purchase order	Lost
64	Customer resources	Lost
62	project team	Lost
60	professional services	Lost
49	project plan	Lost
42	project manager	Lost
42	production environment	Lost
41	knowledge transfer	Lost
38	consulting services	Lost
38	project management	Lost
36	customer team	Lost
30	deliverable doc	Lost
28	Content Server	Lost
28	media management	Lost
25	records management	Lost
25	implementation team	Lost
25	project initiation	Lost
23	business processes	Lost
23	project activities	Lost
23	user interface	Lost
22	business users	Lost
21	technical architecture	Lost
138	commercial proposal	Won
105	project manager	Won
56	project team	Won
53	purchase order	Won
50	work products	Won
45	project plan	Won
44	solution design	Won
40	acceptance testing	Won
38	knowledge transfer	Won
38	project schedule	Won
35	project management	Won
35	user acceptance	Won
33	work site	Won
32	user acceptance testing	Won
32	integration testing	Won
32	acceptance sign-off	Won
31	Computers Systems	Won
30	production environment	Won
